# student = Agute Klints		
# mail: agute.klints@gmail.com		
# language = lv (Latvian)		
# description = Source text published in Wikipedia		
		
# sent_id = 1		
# text = Pirts ir telpa vai celtne, kas paredzēta cilvēka ķermeņa mazgāšanai (tīrīšanai) ar vienlaicīgu vai pamīšus ūdens un karsta gaisa vai tvaika iedarbību.		
# text_en = Sauna is a room or a building designed to wash (clean) the human body with simultaneous or alternating exposure to water and hot air or steam.		
# lang = lv		
senajā	ancient	ADJ
Indijā	India	PROPN
,	,	PUNCT
Ķīnā	China	PROPN
,	,	PUNCT
Ēģiptē	Egypt	PROPN
.	.	PUNCT
		
# sent_id = 9		
# text = Senajā Grieķijā Hipokrats pusei pacientu esot izrakstījis pirts procedūras.		
# text_en = In ancient Greece, Hippocrates allegedly prescribed baths to half of his patients.		
# lang = lv		
Senajā	ancient	ADJ
Grieķijā	Greece	PROPN
Hipokrats	Hippocrates	PROPN
pusei	half	NOUN
pacientu	patient	NOUN
esot	be	AUX
izrakstījis	prescribe	VERB
pirts	sauna	NOUN
procedūras	procedure	NOUN
.	.	PUNCT
		
# sent_id = 10		
# text = Pirtis bija ne tikai higiēnisks, bet arī sociāls kultūras elements.		
# text_en = As well as being hygienic, baths were also a social cultural element.		
# lang = lv		
Pirts	sauna	NOUN
bija	be	AUX
ne	not	PART
tikai	only	PART
higiēnisks	hygienic	ADJ
,	,	PUNCT
bet	but	CCONJ
arī	also	PART
sociāls	social	ADJ
kultūras	cultural	NOUN
elements	element	NOUN
.	.	PUNCT
